Brand,Model,Generation,Modification (Engine),Start of production,End of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel Type,Emission standard,Engine specs,Power,Power per litre,Torque,Engine Model/Code,Engine displacement,Number of cylinders,Number of valves per cylinder,Fuel System,Engine aspiration,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Fuel tank capacity,Dimensions,Length,Width,Height,Front track,Rear (Back) track,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Number of Gears (manual transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Tires size,Wheel rims size,Maximum speed,Weight-to-power ratio,Weight-to-torque ratio,Kerb Weight,Max. weight,Max load,Trunk (boot) space - minimum,Wheelbase,Minimum turning circle (turning diameter),Assisting systems,Power steering,Engine location,Fuel consumption (economy) - combined,CO2 emissions,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Electric cars and hybrids specs,Gross battery capacity,Electric motor 1,Electric motor power,Electric motor Torque,System power,System torque,Internal combustion engine specs,Position of cylinders,Cylinder Bore,Piston Stroke,Compression ratio,Valvetrain,Engine systems,Number of Gears (automatic transmission),Combined fuel consumption (WLTP),CO2 emissions (WLTP),Acceleration 0 - 60 mph,Trunk (boot) space - maximum,Permitted trailer load with brakes (12%),Permitted trailer load without brakes,Width with mirrors folded,Front overhang,Rear overhang,Ride height (ground clearance),Drag coefficient (Cd),Approach angle,Departure angle,Ramp angle,Wading depth,Steering type,AdBlue tank,All-electric range (WLTP),Engine oil capacity,Oil viscosity,Coolant,Max. roof load,Permitted towbar download,Width including mirrors,Climb angle,Max speed (electric),All-electric range,Electric motor 2,Average Energy consumption (WLTP),Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),CO2 emissions (NEDC),Maximum engine speed,All-electric range (NEDC),Average Energy consumption (NEDC)
Jaguar,F-Pace,F-Pace,SVR 5.0 V8 (550 Hp) AWD Automatic,2018 year,2020 year,Internal Combustion engine,SUV,5,5,Performance specs,,,Petrol (Gasoline),Euro 6,Engine specs,550 Hp @ 6000-6500 rpm.,110 Hp/l,680 Nm @ 3500-4000 rpm.  501.54 lb.-ft. @ 3500-4000 rpm.,AJ133,5000 cm3 305.12 cu. in.,8,4,Direct injection,Mechanical supercharging (Compressor),(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",82 l  21.66 US gal | 18.04 UK gal,Dimensions,4739 mm  186.57 in.,2071 mm  81.54 in.,1670 mm  65.75 in.,1648 mm  64.88 in.,1666 mm  65.59 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,Double wishbone,"Independent, spring",Ventilated discs,Ventilated discs,,,283 km/h  175.85 mph,"3.6 kg/Hp, 275.7 Hp/tonne","2.9 kg/Nm, 340.9 Nm/tonne",1995 kg  4398.22 lbs.,,,650 l  22.95 cu. ft.,2874 mm  113.15 in.,,ABS (Anti-lock braking system),Electric Steering,"Front, Longitudinal",11.7 l/100 km  20.1 US mpg24.14 UK mpg8.55 km/l,279 g/km,4.3 sec,4.3 sec,4.1 sec,,,,,,,,,V-engine,92.5 mm  3.64 in.,93 mm  3.66 in.,9.5,,,8,,,,,2400 kg  5291.09 lbs.,750 kg  1653.47 lbs.,,,,,,,,,,Steering rack and pinion,,,6.5 l  6.87 US qt | 5.72 UK qt,Log in to see.,12.3 l  13 US qt | 10.82 UK qt,,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,E-Performance 2.0d (163 Hp),2019 year,2020 year,Internal Combustion engine,SUV,5,5,Performance specs,6.4 l/100 km  36.75 US mpg44.14 UK mpg15.63 km/l,4.7-4.9 l/100 km  50.05 - 48 US mpg60.1 - 57.65 UK mpg21.28 - 20.41 km/l,Diesel,Euro 6d-Temp,Engine specs,163 Hp @ 4000 rpm.,81.5 Hp/l,380 Nm @ 1750-2500 rpm.  280.27 lb.-ft. @ 1750-2500 rpm.,,1999 cm3 121.99 cu. in.,4,4,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",60 l  15.85 US gal | 13.2 UK gal,Dimensions,4731 mm  186.26 in.,2071 mm  81.54 in.,1666 mm  65.59 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,,,"Disc, 325 mm","Disc, 325 mm",235/65 R18; 255/60 R18; 255/55 R19,7.5J x 18; 8.5J x 19,195 km/h  121.17 mph,"10.8 kg/Hp, 92.6 Hp/tonne","4.6 kg/Nm, 215.9 Nm/tonne",1760 kg  3880.14 lbs.,2380 kg  5247 lbs.,620 kg  1366.87 lbs.,,2874 mm  113.15 in.,12.29 m  40.32 ft.,ABS (Anti-lock braking system),,"Front, Longitudinal",5.3-5.5 l/100 km  44.38 - 42.77 US mpg53.3 - 51.36 UK mpg18.87 - 18.18 km/l,140-144 g/km,10.2 sec,10.2 sec,9.7 sec,,,,,,,,,Inline,83 mm  3.27 in.,92.4 mm  3.64 in.,15.5,,Particulate filter,,,,,,1600 kg  3527.4 lbs.,750 kg  1653.47 lbs.,,,,161-215 mm  6.34 - 8.46 in.,,,,,,,,,,,,75 kg  165.35 lbs.,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,30t (300 Hp) AWD Automatic,2019 year,2020 year,Internal Combustion engine,SUV,5,5,Performance specs,9.4 l/100 km  25.02 US mpg30.05 UK mpg10.64 km/l,6.5-6.7 l/100 km  36.19 - 35.11 US mpg43.46 - 42.16 UK mpg15.38 - 14.93 km/l,Petrol (Gasoline),Euro 6d-Temp,Engine specs,300 Hp @ 5500 rpm.,150.2 Hp/l,400 Nm @ 1500-4500 rpm.  295.02 lb.-ft. @ 1500-4500 rpm.,,1997 cm3 121.86 cu. in.,4,4,Direct injection,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",82 l  21.66 US gal | 18.04 UK gal,Dimensions,4731 mm  186.26 in.,2071 mm  81.54 in.,1666 mm  65.59 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,,"Disc, 350 mm","Disc, 325 mm",235/65 R18; 255/60 R18; 255/55 R19; 255/50 R20,7.5J x 18; 8.5J x 19; 8.5J x 20,233 km/h  144.78 mph,"6.1 kg/Hp, 163.8 Hp/tonne","4.6 kg/Nm, 218.5 Nm/tonne",1831 kg  4036.66 lbs.,2460 kg  5423.37 lbs.,629 kg  1386.71 lbs.,,2874 mm  113.15 in.,12.29 m  40.32 ft.,ABS (Anti-lock braking system),,"Front, Longitudinal",7.5-7.7 l/100 km  31.36 - 30.55 US mpg37.66 - 36.69 UK mpg13.33 - 12.99 km/l,172-175 g/km,6.1 sec,6.1 sec,5.8 sec,,,,,,,,,Inline,83 mm  3.27 in.,92.3 mm  3.63 in.,9.5,,,8,,,,,2400 kg  5291.09 lbs.,750 kg  1653.47 lbs.,,,,161-215 mm  6.34 - 8.46 in.,,,,,,,,,,,,75 kg  165.35 lbs.,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,30d V6 (300 Hp) AWD Automatic,2019 year,2020 year,Internal Combustion engine,SUV,5,5,Performance specs,7.4-7.6 l/100 km  31.79 - 30.95 US mpg38.17 - 37.17 UK mpg13.51 - 13.16 km/l,5.6-5.7 l/100 km  42 - 41.27 US mpg50.44 - 49.56 UK mpg17.86 - 17.54 km/l,Diesel,Euro 6d-Temp,Engine specs,300 Hp @ 4000 rpm.,100.2 Hp/l,700 Nm @ 1500-1750 rpm.  516.29 lb.-ft. @ 1500-1750 rpm.,,2993 cm3 182.64 cu. in.,6,4,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",66 l  17.44 US gal | 14.52 UK gal,Dimensions,4731 mm  186.26 in.,2071 mm  81.54 in.,1666 mm  65.59 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,,"Disc, 350 mm","Disc, 325 mm",235/65 R18; 255/60 R18; 255/55 R19; 255/50 R20,7.5J x 18; 8.5J x 18; 8.5J x 20,241 km/h  149.75 mph,"6.5 kg/Hp, 153.5 Hp/tonne","2.8 kg/Nm, 358.2 Nm/tonne",1954 kg  4307.83 lbs.,2570 kg  5665.88 lbs.,616 kg  1358.05 lbs.,,2874 mm  113.15 in.,12.29 m  40.32 ft.,ABS (Anti-lock braking system),,"Front, Longitudinal",6.3-6.4 l/100 km  37.34 - 36.75 US mpg44.84 - 44.14 UK mpg15.87 - 15.63 km/l,166-170 g/km,6.4 sec,6.4 sec,6.1 sec,,,,,,,,,Inline,84 mm  3.31 in.,90 mm  3.54 in.,16.1,,Particulate filter,8,,,,,2400 kg  5291.09 lbs.,750 kg  1653.47 lbs.,,,,161-215 mm  6.34 - 8.46 in.,,,,,,,,,,,,75 kg  165.35 lbs.,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,3.0t V6 (380 Hp) AWD Automatic,2016 year,2018 year,Internal Combustion engine,SUV,5,5,Performance specs,12.2 l/100 km  19.28 US mpg23.15 UK mpg8.2 km/l,7.1 l/100 km  33.13 US mpg39.79 UK mpg14.08 km/l,Petrol (Gasoline),Euro 6,Engine specs,380 Hp @ 6500 rpm.,126.9 Hp/l,450 Nm @ 4500 rpm.  331.9 lb.-ft. @ 4500 rpm.,AJ126,2995 cm3 182.77 cu. in.,6,4,Direct injection,Mechanical supercharging (Compressor),(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",63 l  16.64 US gal | 13.86 UK gal,Dimensions,4731 mm  186.26 in.,,1652 mm  65.04 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,,Ventilated discs,Ventilated discs,,,250 km/h  155.34 mph,"4.9 kg/Hp, 204.2 Hp/tonne","4.1 kg/Nm, 241.8 Nm/tonne",1861 kg  4102.8 lbs.,2500 kg  5511.56 lbs.,639 kg  1408.75 lbs.,650 l  22.95 cu. ft.,2874 mm  113.15 in.,11.87 m  38.94 ft.,ABS (Anti-lock braking system),Electric Steering,"Front, Longitudinal",8.9 l/100 km  26.43 US mpg31.74 UK mpg11.24 km/l,209 g/km,5.5 sec,5.5 sec,5.2 sec,,,,,,,,,V-engine,84.5 mm  3.33 in.,89 mm  3.5 in.,10.5,DOHC,,8,,,,,,,2070 mm  81.5 in.,,,213 mm  8.39 in.,,,,,,Steering rack and pinion,,,6.5 l  6.87 US qt | 5.72 UK qt,Log in to see.,7.7 l  8.14 US qt | 6.78 UK qt,,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,3.0t V6 (340 Hp) AWD Automatic,2016 year,2017 year,Internal Combustion engine,SUV,5,5,Performance specs,12.2 l/100 km  19.28 US mpg23.15 UK mpg8.2 km/l,7.1 l/100 km  33.13 US mpg39.79 UK mpg14.08 km/l,Petrol (Gasoline),Euro 6,Engine specs,340 Hp @ 6500 rpm.,113.5 Hp/l,450 Nm @ 4500 rpm.  331.9 lb.-ft. @ 4500 rpm.,AJ126,2995 cm3 182.77 cu. in.,6,4,Direct injection,Mechanical supercharging (Compressor),(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",63 l  16.64 US gal | 13.86 UK gal,Dimensions,4731 mm  186.26 in.,,1652 mm  65.04 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,,Ventilated discs,Ventilated discs,,,250 km/h  155.34 mph,"5.4 kg/Hp, 186.8 Hp/tonne","4 kg/Nm, 247.3 Nm/tonne",1820 kg  4012.41 lbs.,2500 kg  5511.56 lbs.,680 kg  1499.14 lbs.,650 l  22.95 cu. ft.,2874 mm  113.15 in.,11.87 m  38.94 ft.,ABS (Anti-lock braking system),Electric Steering,"Front, Longitudinal",8.9 l/100 km  26.43 US mpg31.74 UK mpg11.24 km/l,209 g/km,5.8 sec,5.8 sec,5.5 sec,,,,,,,,,V-engine,84.5 mm  3.33 in.,89 mm  3.5 in.,10.5,DOHC,,8,,,,,,,2070 mm  81.5 in.,,,213 mm  8.39 in.,,,,,,Steering rack and pinion,,,6.5 l  6.87 US qt | 5.72 UK qt,Log in to see.,7.7 l  8.14 US qt | 6.78 UK qt,,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,3.0d V6 (300 Hp) AWD Automatic,2015 year,2018 year,Internal Combustion engine,SUV,5,5,Performance specs,6.9 l/100 km  34.09 US mpg40.94 UK mpg14.49 km/l,5.6 l/100 km  42 US mpg50.44 UK mpg17.86 km/l,Diesel,Euro 6,Engine specs,300 Hp @ 4000 rpm.,100.2 Hp/l,700 Nm @ 2000 rpm.  516.29 lb.-ft. @ 2000 rpm.,,2993 cm3 182.64 cu. in.,6,4,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",66 l  17.44 US gal | 14.52 UK gal,Dimensions,4731 mm  186.26 in.,,1652 mm  65.04 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,,Ventilated discs,Ventilated discs,,,241 km/h  149.75 mph,"6.3 kg/Hp, 159.2 Hp/tonne","2.7 kg/Nm, 371.5 Nm/tonne",1884 kg  4153.51 lbs.,2570 kg  5665.88 lbs.,686 kg  1512.37 lbs.,650 l  22.95 cu. ft.,2874 mm  113.15 in.,11.87 m  38.94 ft.,ABS (Anti-lock braking system),Electric Steering,"Front, Longitudinal",6 l/100 km  39.2 US mpg47.08 UK mpg16.67 km/l,159 g/km,6.2 sec,6.2 sec,5.9 sec,,,,,,,,,V-engine,84 mm  3.31 in.,90 mm  3.54 in.,16.1,DOHC,Particulate filter,8,,,,,,,2070 mm  81.5 in.,,,213 mm  8.39 in.,,,,,,Steering rack and pinion,,,6.6 l  6.97 US qt | 5.81 UK qt,Log in to see.,9.2 l  9.72 US qt | 8.09 UK qt,,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,25t (250 Hp) AWD Automatic,2019 year,2020 year,Internal Combustion engine,SUV,5,5,Performance specs,9.4 l/100 km  25.02 US mpg30.05 UK mpg10.64 km/l,6.5-6.7 l/100 km  36.19 - 35.11 US mpg43.46 - 42.16 UK mpg15.38 - 14.93 km/l,Petrol (Gasoline),Euro 6d-Temp,Engine specs,250 Hp @ 5500 rpm.,125.2 Hp/l,365 Nm @ 1300-4500 rpm.  269.21 lb.-ft. @ 1300-4500 rpm.,,1997 cm3 121.86 cu. in.,4,4,Direct injection,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",82 l  21.66 US gal | 18.04 UK gal,Dimensions,4731 mm  186.26 in.,2071 mm  81.54 in.,1666 mm  65.59 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,,"Disc, 325 mm","Disc, 325 mm",235/65 R18; 255/60 R18; 255/55 R19,7.5J x 18; 8.5J x 19,217 km/h  134.84 mph,"7.3 kg/Hp, 136.5 Hp/tonne","5 kg/Nm, 199.3 Nm/tonne",1831 kg  4036.66 lbs.,2460 kg  5423.37 lbs.,629 kg  1386.71 lbs.,,2874 mm  113.15 in.,12.29 m  40.32 ft.,ABS (Anti-lock braking system),,"Front, Longitudinal",7.5-7.7 l/100 km  31.36 - 30.55 US mpg37.66 - 36.69 UK mpg13.33 - 12.99 km/l,172-175 g/km,7 sec,7 sec,6.7 sec,,,,,,,,,Inline,83 mm  3.27 in.,92.3 mm  3.63 in.,10.5,,,8,,,,,2400 kg  5291.09 lbs.,750 kg  1653.47 lbs.,,,,161-215 mm  6.34 - 8.46 in.,,,,,,,,,,,,75 kg  165.35 lbs.,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,25d (240 Hp) AWD Automatic,2019 year,2020 year,Internal Combustion engine,SUV,5,5,Performance specs,7.6-7.8 l/100 km  30.95 - 30.16 US mpg37.17 - 36.22 UK mpg13.16 - 12.82 km/l,5.5-5.7 l/100 km  42.77 - 41.27 US mpg51.36 - 49.56 UK mpg18.18 - 17.54 km/l,Diesel,Euro 6d-Temp,Engine specs,240 Hp @ 4000 rpm.,120.1 Hp/l,500 Nm @ 1500-2500 rpm.  368.78 lb.-ft. @ 1500-2500 rpm.,,1999 cm3 121.99 cu. in.,4,4,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",60 l  15.85 US gal | 13.2 UK gal,Dimensions,4731 mm  186.26 in.,2071 mm  81.54 in.,1666 mm  65.59 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,,"Disc, 325 mm","Disc, 325 mm",235/65 R18; 255/60 R18; 255/55 R19,7.5J x 18; 8.5J x 19,217 km/h  134.84 mph,"7.8 kg/Hp, 127.6 Hp/tonne","3.8 kg/Nm, 265.8 Nm/tonne",1881 kg  4146.9 lbs.,2470 kg  5445.42 lbs.,589 kg  1298.52 lbs.,,2874 mm  113.15 in.,12.29 m  40.32 ft.,ABS (Anti-lock braking system),,"Front, Longitudinal",6.3-6.5 l/100 km  37.34 - 36.19 US mpg44.84 - 43.46 UK mpg15.87 - 15.38 km/l,166-171 g/km,7.2 sec,7.2 sec,6.8 sec,,,,,,,,,Inline,83 mm  3.27 in.,92.4 mm  3.64 in.,15.5,,Particulate filter,8,,,,,2400 kg  5291.09 lbs.,750 kg  1653.47 lbs.,,,,161-215 mm  6.34 - 8.46 in.,,,,,,,,,,,,75 kg  165.35 lbs.,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,20d (180 Hp) AWD Automatic,2019 year,2020 year,Internal Combustion engine,SUV,5,5,Performance specs,6.6-6.8 l/100 km  35.64 - 34.59 US mpg42.8 - 41.54 UK mpg15.15 - 14.71 km/l,5.2-5.4 l/100 km  45.23 - 43.56 US mpg54.32 - 52.31 UK mpg19.23 - 18.52 km/l,Diesel,Euro 6d-Temp,Engine specs,180 Hp @ 4000 rpm.,90 Hp/l,430 Nm @ 1750-2500 rpm.  317.15 lb.-ft. @ 1750-2500 rpm.,,1999 cm3 121.99 cu. in.,4,4,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",60 l  15.85 US gal | 13.2 UK gal,Dimensions,4731 mm  186.26 in.,2071 mm  81.54 in.,1666 mm  65.59 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,,"Disc, 325 mm","Disc, 325 mm",235/65 R18; 255/60 R18; 255/55 R19,7.5J x 18; 8.5J x 19,208 km/h  129.25 mph,"10.3 kg/Hp, 97.6 Hp/tonne","4.3 kg/Nm, 233.1 Nm/tonne",1845 kg  4067.53 lbs.,2460 kg  5423.37 lbs.,615 kg  1355.84 lbs.,,2874 mm  113.15 in.,12.29 m  40.32 ft.,ABS (Anti-lock braking system),,"Front, Longitudinal",5.7-5.9 l/100 km  41.27 - 39.87 US mpg49.56 - 47.88 UK mpg17.54 - 16.95 km/l,151-155 g/km,9 sec,9 sec,8.6 sec,,,,,,,,,Inline,83 mm  3.27 in.,92.4 mm  3.64 in.,15.5,,Particulate filter,8,,,,,2400 kg  5291.09 lbs.,750 kg  1653.47 lbs.,,,,161-215 mm  6.34 - 8.46 in.,,,,,,,,,,,,75 kg  165.35 lbs.,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,20d (180 Hp) Automatic,2019 year,2020 year,Internal Combustion engine,SUV,5,5,Performance specs,6.6-6.7 l/100 km  35.64 - 35.11 US mpg42.8 - 42.16 UK mpg15.15 - 14.93 km/l,4.9-5.1 l/100 km  48 - 46.12 US mpg57.65 - 55.39 UK mpg20.41 - 19.61 km/l,Diesel,Euro 6d-Temp,Engine specs,180 Hp @ 4000 rpm.,90 Hp/l,430 Nm @ 1750-2500 rpm.  317.15 lb.-ft. @ 1750-2500 rpm.,,1999 cm3 121.99 cu. in.,4,4,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",60 l  15.85 US gal | 13.2 UK gal,Dimensions,4731 mm  186.26 in.,2071 mm  81.54 in.,1666 mm  65.59 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,,,"Disc, 325 mm","Disc, 325 mm",235/65 R18; 255/60 R18; 255/55 R19,7.5J x 18; 8.5J x 19,208 km/h  129.25 mph,"9.9 kg/Hp, 100.6 Hp/tonne","4.2 kg/Nm, 240.2 Nm/tonne",1790 kg  3946.27 lbs.,2380 kg  5247 lbs.,590 kg  1300.73 lbs.,,2874 mm  113.15 in.,12.29 m  40.32 ft.,ABS (Anti-lock braking system),,"Front, Longitudinal",5.5-5.7 l/100 km  42.77 - 41.27 US mpg51.36 - 49.56 UK mpg18.18 - 17.54 km/l,146-150 g/km,8.6 sec,8.6 sec,8.2 sec,,,,,,,,,Inline,83 mm  3.27 in.,92.4 mm  3.64 in.,15.5,,Particulate filter,8,,,,,2400 kg  5291.09 lbs.,750 kg  1653.47 lbs.,,,,161-215 mm  6.34 - 8.46 in.,,,,,,,,,,,,75 kg  165.35 lbs.,,2175 mm  85.63 in.,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,2.0t (300 Hp) AWD Automatic,2017 year,2018 year,Internal Combustion engine,SUV,5,5,Performance specs,,,Petrol (Gasoline),Euro 6,Engine specs,300 Hp @ 5500 rpm.,150.2 Hp/l,400 Nm @ 1500-4500 rpm.  295.02 lb.-ft. @ 1500-4500 rpm.,,1997 cm3 121.86 cu. in.,4,4,Direct injection,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",63 l  16.64 US gal | 13.86 UK gal,Dimensions,4746 mm  186.85 in.,2070 mm  81.5 in.,1667 mm  65.63 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,Double wishbone,Helical spring,Ventilated discs,Ventilated discs,,,233 km/h  144.78 mph,"5.9 kg/Hp, 169.5 Hp/tonne","4.4 kg/Nm, 226 Nm/tonne",1770 kg  3902.18 lbs.,,,463 l  16.35 cu. ft.,2874 mm  113.15 in.,,ABS (Anti-lock braking system),Electric Steering,"Front, Longitudinal",7.7 l/100 km  30.55 US mpg36.69 UK mpg12.99 km/l,174 g/km,6 sec,6 sec,5.7 sec,,,,,,,,,Inline,83 mm  3.27 in.,92.4 mm  3.64 in.,9.5,DOHC,,8,,,,650 l  22.95 cu. ft.,2400 kg  5291.09 lbs.,750 kg  1653.47 lbs.,2175 mm  85.63 in.,,,213 mm  8.39 in.,,,,,,Steering rack and pinion,,,6.47-7 l  6.84 - 7.4 US qt | 5.69 - 6.16 UK qt,Log in to see.,9.05 l  9.56 US qt | 7.96 UK qt,,,,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,2.0t (250 Hp) AWD Automatic,2017 year,2018 year,Internal Combustion engine,SUV,5,5,Performance specs,,,Petrol (Gasoline),Euro 6,Engine specs,250 Hp @ 5500 rpm.,125.2 Hp/l,365 Nm @ 1200-4500 rpm.  269.21 lb.-ft. @ 1200-4500 rpm.,,1997 cm3 121.86 cu. in.,4,4,Direct injection,"Twin-Turbo, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",63 l  16.64 US gal | 13.86 UK gal,Dimensions,4746 mm  186.85 in.,2070 mm  81.5 in.,1667 mm  65.63 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,Double wishbone,Helical spring,Ventilated discs,Ventilated discs,,,217 km/h  134.84 mph,"6.8 kg/Hp, 146.2 Hp/tonne","4.7 kg/Nm, 213.5 Nm/tonne",1710 kg  3769.9 lbs.,,,650 l  22.95 cu. ft.,2874 mm  113.15 in.,,ABS (Anti-lock braking system),Electric Steering,"Front, Longitudinal",7.4 l/100 km  31.79 US mpg38.17 UK mpg13.51 km/l,170 g/km,6.8 sec,6.8 sec,6.5 sec,,,,,,,,,Inline,83 mm  3.27 in.,92.4 mm  3.64 in.,10.5,,,8,,,,,2400 kg  5291.09 lbs.,750 kg  1653.47 lbs.,2175 mm  85.63 in.,,,213 mm  8.39 in.,,,,,,Steering rack and pinion,,,6.47-7 l  6.84 - 7.4 US qt | 5.69 - 6.16 UK qt,Log in to see.,9.05 l  9.56 US qt | 7.96 UK qt,,,,,,,,,,,,,,,
Jaguar,F-Pace,F-Pace,2.0t (250 Hp) Automatic,2017 year,2018 year,Internal Combustion engine,SUV,5,5,Performance specs,,,Petrol (Gasoline),Euro 6,Engine specs,250 Hp @ 5500 rpm.,125.2 Hp/l,365 Nm @ 1200-4500 rpm.  269.21 lb.-ft. @ 1200-4500 rpm.,,1997 cm3 121.86 cu. in.,4,4,Direct injection,"Twin-Turbo, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",63 l  16.64 US gal | 13.86 UK gal,Dimensions,4746 mm  186.85 in.,2070 mm  81.5 in.,1667 mm  65.63 in.,1641 mm  64.61 in.,1654 mm  65.12 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Double wishbone,Helical spring,Ventilated discs,Ventilated discs,,,217 km/h  134.84 mph,"6.8 kg/Hp, 146.2 Hp/tonne","4.7 kg/Nm, 213.5 Nm/tonne",1710 kg  3769.9 lbs.,,,650 l  22.95 cu. ft.,2874 mm  113.15 in.,,ABS (Anti-lock braking system),Electric Steering,"Front, Longitudinal",7.1 l/100 km  33.13 US mpg39.79 UK mpg14.08 km/l,163 g/km,6.8 sec,6.8 sec,6.5 sec,,,,,,,,,Inline,83 mm  3.27 in.,92.4 mm  3.64 in.,10.5,,,8,,,,,2400 kg  5291.09 lbs.,750 kg  1653.47 lbs.,2175 mm  85.63 in.,,,213 mm  8.39 in.,,,,,,Steering rack and pinion,,,6.47-7 l  6.84 - 7.4 US qt | 5.69 - 6.16 UK qt,Log in to see.,9.05 l  9.56 US qt | 7.96 UK qt,,,,,,,,,,,,,,,
