Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - combined,CO2 emissions,Fuel Type,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine displacement,Number of cylinders,Position of cylinders,Fuel System,Engine aspiration,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Tires size,Wheel rims size,End of production,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Maximum speed,Emission standard,Number of valves per cylinder,Valvetrain,Trunk (boot) space - minimum,Fuel tank capacity,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,Number of Gears (automatic transmission),Steering type,Engine Model/Code,Cylinder Bore,Piston Stroke,Compression ratio,Engine oil capacity,Oil viscosity,Coolant,Max. weight,Max load,Trunk (boot) space - maximum,Minimum turning circle (turning diameter),Power steering,Number of Gears (manual transmission),Maximum engine speed,Ride height (ground clearance),Drag coefficient (Cd),Electric cars and hybrids specs,Battery voltage,Battery technology,Electric motor 1,Electric motor power,Electric motor Torque,System power,Internal combustion engine specs,Permitted trailer load with brakes (12%),Gross battery capacity,Electric motor 2,Engine systems,Permitted trailer load without brakes,Width including mirrors,System torque,Acceleration 0 - 60 mph,Width with mirrors folded,Front overhang,Rear overhang,Approach angle,Departure angle,Ramp angle,Permitted towbar download,Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),Acceleration 0 - 200 km/h,All-electric range,Combined fuel consumption (WLTP),CO2 emissions (WLTP),"Fuel consumption (economy) - urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - extra urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - combined (NEDC, WLTP equivalent)","CO2 emissions (NEDC, WLTP equivalent)",Max. roof load
Infiniti,QX70,QX70,5.0 V8 (390 Hp) Automatic AWD,2013 year,Internal Combustion engine,SUV,5,5,Performance specs,19.2 l/100 km  12.25 US mpg14.71 UK mpg5.21 km/l,10.2 l/100 km  23.06 US mpg27.69 UK mpg9.8 km/l,13.5 l/100 km  17.42 US mpg20.92 UK mpg7.41 km/l,316 g/km,Petrol (Gasoline),"5.4 kg/Hp, 184 Hp/tonne","4.2 kg/Nm, 235.8 Nm/tonne",Engine specs,390 Hp @ 6500 rpm.,77.6 Hp/l,500 Nm @ 4400 rpm.  368.78 lb.-ft. @ 4400 rpm.,"Front, Longitudinal",5026 cm3 306.71 cu. in.,8,V-engine,Direct injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2120 kg  4673.8 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),Double wishbone,Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,,5.8 sec,5.8 sec,5.5 sec,240 km/h  149.13 mph,Euro 6,,,410 l  14.48 cu. ft.,90 l  23.78 US gal | 19.8 UK gal,Dimensions,4865 mm  191.54 in.,,1680 mm  66.14 in.,2885 mm  113.58 in.,1635 mm  64.37 in.,1640 mm  64.57 in.,7,Steering rack and pinion,,,,,,,,,,,11.2 m  36.75 ft.,Electric Steering,,,,0.35,,,,,,,,,,,,,,2134 mm  84.02 in.,,,,,,,,,,,,,,,,,,,,,
Infiniti,QX70,QX70,3.7 V6 (320 Hp) Automatic AWD,2013 year,Internal Combustion engine,SUV,5,5,Performance specs,16.8-17.4 l/100 km  14 - 13.52 US mpg16.81 - 16.23 UK mpg5.95 - 5.75 km/l,9.4-9.8 l/100 km  25.02 - 24 US mpg30.05 - 28.82 UK mpg10.64 - 10.2 km/l,12.1-12.6 l/100 km  19.44 - 18.67 US mpg23.35 - 22.42 UK mpg8.26 - 7.94 km/l,282-293 g/km,Petrol (Gasoline),"6.3 kg/Hp, 159 Hp/tonne","5.6 kg/Nm, 178.9 Nm/tonne",Engine specs,320 Hp @ 7000 rpm.,86.6 Hp/l,360 Nm @ 5200 rpm.  265.52 lb.-ft. @ 5200 rpm.,"Front, Longitudinal",3696 cm3 225.54 cu. in.,6,V-engine,Direct injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2012 kg  4435.7 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),Double wishbone,Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,,6.8 sec,6.8 sec,6.5 sec,233 km/h  144.78 mph,Euro 6,,,410 l  14.48 cu. ft.,90 l  23.78 US gal | 19.8 UK gal,Dimensions,4865 mm  191.54 in.,,1680 mm  66.14 in.,2885 mm  113.58 in.,1635 mm  64.37 in.,1640 mm  64.57 in.,7,Steering rack and pinion,,,,,,,,,,,11.2 m  36.75 ft.,Electric Steering,,,,0.35,,,,,,,,,,,,,,2134 mm  84.02 in.,,,,,,,,,,,,,,,,,,,,,
Infiniti,QX70,QX70,3.0D V6 (238 Hp) Automatic AWD,2013 year,Internal Combustion engine,SUV,5,5,Performance specs,10.8 l/100 km  21.78 US mpg26.16 UK mpg9.26 km/l,7.3 l/100 km  32.22 US mpg38.7 UK mpg13.7 km/l,8.6 l/100 km  27.35 US mpg32.85 UK mpg11.63 km/l,225 g/km,Diesel,"9.1 kg/Hp, 109.4 Hp/tonne","4 kg/Nm, 252.9 Nm/tonne",Engine specs,238 Hp @ 3750 rpm.,79.5 Hp/l,550 Nm @ 1750 rpm.  405.66 lb.-ft. @ 1750 rpm.,"Front, Longitudinal",2993 cm3 182.64 cu. in.,6,V-engine,Diesel Commonrail,"Turbocharger, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2175 kg  4795.05 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),Double wishbone,Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),,,,8.3 sec,8.3 sec,7.9 sec,212 km/h  131.73 mph,Euro 5,,,410 l  14.48 cu. ft.,90 l  23.78 US gal | 19.8 UK gal,Dimensions,4865 mm  191.54 in.,,1680 mm  66.14 in.,2885 mm  113.58 in.,1635 mm  64.37 in.,1640 mm  64.57 in.,7,Steering rack and pinion,,,,,,,,,,,11.2 m  36.75 ft.,Electric Steering,,,,0.36,,,,,,,,,,,,Particulate filter,,2134 mm  84.02 in.,,,,,,,,,,,,,,,,,,,,,
Infiniti,QX80,QX80 (facelift 2017),5.6 V8 (400 Hp) AWD Automatic,2017 year,Internal Combustion engine,SUV,7-8,5,Performance specs,,,,,Petrol (Gasoline),"6.7 kg/Hp, 149.8 Hp/tonne","4.8 kg/Nm, 209.7 Nm/tonne",Engine specs,400 Hp @ 5800 rpm.,72 Hp/l,560 Nm @ 4000 rpm.  413.03 lb.-ft. @ 4000 rpm.,"Front, Longitudinal",5552 cm3 338.8 cu. in.,8,V-engine,Direct injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2671 kg  5888.55 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),Double wishbone,Double wishbone,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),275/60 R20,8.0J x 20,,,,,,,4,DOHC,470 l  16.6 cu. ft.,98 l  25.89 US gal | 21.56 UK gal,Dimensions,5339 mm  210.2 in.,2029 mm  79.88 in.,1925 mm  75.79 in.,3076 mm  121.1 in.,1715 mm  67.52 in.,1725 mm  67.91 in.,7,Steering rack and pinion,VK56VD,98 mm  3.86 in.,92 mm  3.62 in.,11.2,6.5 l  6.87 US qt | 5.72 UK qt,,16.2 l  17.12 US qt | 14.25 UK qt,3402 kg  7500.13 lbs.,731 kg  1611.58 lbs.,2693 l  95.1 cu. ft.,12.5 m  41.01 ft.,Electric Steering,,6000 rpm.,234 mm  9.21 in.,0.36,,,,,,,,,3856 kg  8501.02 lbs.,,,Start & Stop System,,,,,,,,20.9°,22.3°,20.7°,,18 l/100 km  13.07 US mpg15.69 UK mpg5.56 km/l,12.3 l/100 km  19.12 US mpg22.97 UK mpg8.13 km/l,15.6 l/100 km  15.08 US mpg18.11 UK mpg6.41 km/l,,,,,,,,,
Infiniti,QX80,QX80 (facelift 2017),5.6 V8 (400 Hp) Automatic,2017 year,Internal Combustion engine,SUV,7-8,5,Performance specs,,,,,Petrol (Gasoline),"6.4 kg/Hp, 156.3 Hp/tonne","4.6 kg/Nm, 218.8 Nm/tonne",Engine specs,400 Hp @ 5800 rpm.,72 Hp/l,560 Nm @ 4000 rpm.  413.03 lb.-ft. @ 4000 rpm.,"Front, Longitudinal",5552 cm3 338.8 cu. in.,8,V-engine,Direct injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2560 kg  5643.83 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,Double wishbone,Double wishbone,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),275/60 R20,8.0J x 20,,,,,,,4,DOHC,470 l  16.6 cu. ft.,98 l  25.89 US gal | 21.56 UK gal,Dimensions,5339 mm  210.2 in.,2029 mm  79.88 in.,1925 mm  75.79 in.,3076 mm  121.1 in.,1715 mm  67.52 in.,1725 mm  67.91 in.,7,Steering rack and pinion,VK56VD,98 mm  3.86 in.,92 mm  3.62 in.,11.2,6.5 l  6.87 US qt | 5.72 UK qt,,16.2 l  17.12 US qt | 14.25 UK qt,3311 kg  7299.51 lbs.,751 kg  1655.67 lbs.,2693 l  95.1 cu. ft.,12.5 m  41.01 ft.,Electric Steering,,6000 rpm.,234 mm  9.21 in.,0.36,,,,,,,,,3856 kg  8501.02 lbs.,,,Start & Stop System,,,,,,,,20.9°,22.3°,20.7°,,17 l/100 km  13.84 US mpg16.62 UK mpg5.88 km/l,11.7 l/100 km  20.1 US mpg24.14 UK mpg8.55 km/l,14.7 l/100 km  16 US mpg19.22 UK mpg6.8 km/l,,,,,,,,,
Infiniti,QX80,QX80,5.6 V8 (405 Hp) AWD Automatic,2014 year,Internal Combustion engine,SUV,7-8,5,Performance specs,20.6 l/100 km  11.42 US mpg13.71 UK mpg4.85 km/l,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,14.5 l/100 km  16.22 US mpg19.48 UK mpg6.9 km/l,373 g/km,Petrol (Gasoline),"6.9 kg/Hp, 144.6 Hp/tonne","5 kg/Nm, 200 Nm/tonne",Engine specs,405 Hp @ 5800 rpm.,72.9 Hp/l,560 Nm @ 4000 rpm.  413.03 lb.-ft. @ 4000 rpm.,"Front, Longitudinal",5552 cm3 338.8 cu. in.,8,V-engine,Direct injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2800 kg  6172.94 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) permanently drives the four wheels of the vehicle.,All wheel drive (4x4),Independent multi-link,Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),275/50 R22,7.5J x 22,2017 year,7.5 sec,7.5 sec,7.1 sec,210 km/h  130.49 mph,Euro 4,4,DOHC,470 l  16.6 cu. ft.,100 l  26.42 US gal | 22 UK gal,Dimensions,5305 mm  208.86 in.,2030 mm  79.92 in.,1925 mm  75.79 in.,3075 mm  121.06 in.,1715 mm  67.52 in.,1725 mm  67.91 in.,7,Steering rack and pinion,,98 mm  3.86 in.,92 mm  3.62 in.,11.5,,,,3400 kg  7495.72 lbs.,600 kg  1322.77 lbs.,2693 l  95.1 cu. ft.,12.6 m  41.34 ft.,Electric Steering,,,235 mm  9.25 in.,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,QX80,QX80,5.6 V8 (405 Hp) Automatic,2014 year,Internal Combustion engine,SUV,7-8,5,Performance specs,20.6 l/100 km  11.42 US mpg13.71 UK mpg4.85 km/l,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,14.5 l/100 km  16.22 US mpg19.48 UK mpg6.9 km/l,373 g/km,Petrol (Gasoline),"6.9 kg/Hp, 144.6 Hp/tonne","5 kg/Nm, 200 Nm/tonne",Engine specs,405 Hp @ 5800 rpm.,72.9 Hp/l,560 Nm @ 4000 rpm.  413.03 lb.-ft. @ 4000 rpm.,"Front, Longitudinal",5552 cm3 338.8 cu. in.,8,V-engine,Direct injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2800 kg  6172.94 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,Independent multi-link,Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),275/50 R22,7.5J x 22,2017 year,7.5 sec,7.5 sec,7.1 sec,210 km/h  130.49 mph,Euro 4,4,DOHC,470 l  16.6 cu. ft.,100 l  26.42 US gal | 22 UK gal,Dimensions,5305 mm  208.86 in.,2030 mm  79.92 in.,1925 mm  75.79 in.,3075 mm  121.06 in.,1715 mm  67.52 in.,1725 mm  67.91 in.,7,Steering rack and pinion,,98 mm  3.86 in.,92 mm  3.62 in.,11.5,,,,3400 kg  7495.72 lbs.,600 kg  1322.77 lbs.,2693 l  95.1 cu. ft.,12.6 m  41.34 ft.,Electric Steering,,,235 mm  9.25 in.,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Elba,Elba,1.7 D (58 Hp),1986 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,,,5.7 l/100 km  41.27 US mpg49.56 UK mpg17.54 km/l,,Diesel,"16.7 kg/Hp, 59.8 Hp/tonne","9.9 kg/Nm, 101 Nm/tonne",Engine specs,58 Hp @ 4600 rpm.,34.2 Hp/l,98 Nm @ 2900 rpm.  72.28 lb.-ft. @ 2900 rpm.,"Front, Transverse",1697 cm3 103.56 cu. in.,4,Inline,Diesel - Standard diesel injection (SDI),Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",970 kg  2138.48 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Spring-loaded rack,Leaf spring,Disc,Drum,ABS (Anti-lock braking system),165/70 R13 S,,1996 year,20 sec,20 sec,19 sec,150 km/h  93.21 mph,,2,OHC,490 l  17.3 cu. ft.,54 l  14.27 US gal | 11.88 UK gal,Dimensions,4037 mm  158.94 in.,1555 mm  61.22 in.,1450 mm  57.09 in.,2362 mm  92.99 in.,1321 mm  52.01 in.,1344 mm  52.91 in.,,,,82.6 mm  3.25 in.,79.2 mm  3.12 in.,20.5,,,,1430 kg  3152.61 lbs.,460 kg  1014.13 lbs.,1430 l  50.5 cu. ft.,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Elba,Elba,1.6 i (76 Hp),1986 year,Internal Combustion engine,Station wagon (estate),5,5,Performance specs,,,7.6 l/100 km  30.95 US mpg37.17 UK mpg13.16 km/l,,Petrol (Gasoline),"12.5 kg/Hp, 80 Hp/tonne","7.7 kg/Nm, 129.5 Nm/tonne",Engine specs,76 Hp @ 5750 rpm.,48.1 Hp/l,123 Nm @ 3250 rpm.  90.72 lb.-ft. @ 3250 rpm.,"Front, Transverse",1581 cm3 96.48 cu. in.,4,Inline,Mono-point injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",950 kg  2094.39 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Spring-loaded rack,Leaf spring,Disc,Drum,ABS (Anti-lock braking system),165/70 R13,,1996 year,12 sec,12 sec,11.4 sec,168 km/h  104.39 mph,,2,OHC,490 l  17.3 cu. ft.,54 l  14.27 US gal | 11.88 UK gal,Dimensions,4037 mm  158.94 in.,1555 mm  61.22 in.,1450 mm  57.09 in.,2362 mm  92.99 in.,1321 mm  52.01 in.,1344 mm  52.91 in.,,,,86.4 mm  3.4 in.,67.4 mm  2.65 in.,9.2,,,,1410 kg  3108.52 lbs.,460 kg  1014.13 lbs.,1430 l  50.5 cu. ft.,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Elba,Elba,1.4 i (68 Hp),1986 year,Internal Combustion engine,Station wagon (estate),5,3,Performance specs,,,7.3 l/100 km  32.22 US mpg38.7 UK mpg13.7 km/l,,Petrol (Gasoline),"13.7 kg/Hp, 73.1 Hp/tonne","8.6 kg/Nm, 116.1 Nm/tonne",Engine specs,68 Hp @ 5500 rpm.,49.6 Hp/l,108 Nm @ 3000 rpm.  79.66 lb.-ft. @ 3000 rpm.,"Front, Transverse",1372 cm3 83.72 cu. in.,4,Inline,Mono-point injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",930 kg  2050.3 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Spring-loaded rack,Leaf spring,Disc,Drum,ABS (Anti-lock braking system),165/70 R13S,,1996 year,14 sec,14 sec,13.3 sec,160 km/h  99.42 mph,,2,OHC,490 l  17.3 cu. ft.,54 l  14.27 US gal | 11.88 UK gal,Dimensions,4037 mm  158.94 in.,1555 mm  61.22 in.,1450 mm  57.09 in.,2362 mm  92.99 in.,1321 mm  52.01 in.,1344 mm  52.91 in.,,,,80.5 mm  3.17 in.,67.4 mm  2.65 in.,9.2,,,,1390 kg  3064.43 lbs.,460 kg  1014.13 lbs.,1430 l  50.5 cu. ft.,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Mille,Mille,1.0 i (48 Hp),1993 year,Internal Combustion engine,Hatchback,5,3,Performance specs,,,7 l/100 km  33.6 US mpg40.35 UK mpg14.29 km/l,,Petrol (Gasoline),"17.9 kg/Hp, 55.8 Hp/tonne","11.9 kg/Nm, 83.7 Nm/tonne",Engine specs,48 Hp @ 6000 rpm.,48.3 Hp/l,72 Nm @ 2600 rpm.  53.1 lb.-ft. @ 2600 rpm.,"Front, Transverse",994 cm3 60.66 cu. in.,4,Inline,Mono-point injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",860 kg  1895.98 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Spring-loaded rack,Leaf spring,Disc,Drum,ABS (Anti-lock braking system),165/70 R13 S,,1997 year,,,,143 km/h  88.86 mph,,2,OHC,290 l  10.24 cu. ft.,50 l  13.21 US gal | 11 UK gal,Dimensions,3644 mm  143.46 in.,1555 mm  61.22 in.,1499 mm  59.02 in.,2362 mm  92.99 in.,1336 mm  52.6 in.,1348 mm  53.07 in.,,,,76 mm  2.99 in.,54.8 mm  2.16 in.,9.4,,,,1260 kg  2777.82 lbs.,400 kg  881.85 lbs.,620 l  21.9 cu. ft.,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Mini,Mini,1.3 De Tomaso (69 Hp),1976 year,Internal Combustion engine,Hatchback,,,Performance specs,,,,,Petrol (Gasoline),,,Engine specs,69 Hp,,,,,,,,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,1982 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Mini,Mini,1.3 (64 Hp),1976 year,Internal Combustion engine,Hatchback,,,Performance specs,,,,,Petrol (Gasoline),,,Engine specs,64 Hp,,,,,,,,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,1982 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Mini,Mini,1.0 (53 Hp),1974 year,Internal Combustion engine,Hatchback,,,Performance specs,,,,,Petrol (Gasoline),,,Engine specs,53 Hp,,,,,,,,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,1982 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Mini,Mini,1.0 (48 Hp),1974 year,Internal Combustion engine,Hatchback,,,Performance specs,,,,,Petrol (Gasoline),,,Engine specs,48 Hp,,,,,,,,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,1982 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Mini,Mini,1.0 (44 Hp),1974 year,Internal Combustion engine,Hatchback,,,Performance specs,,,,,Petrol (Gasoline),,,Engine specs,44 Hp,,,,,,,,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,1982 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Small,Small,1.0 (52 Hp),1991 year,Internal Combustion engine,Hatchback,5,3,Performance specs,7.4 l/100 km  31.79 US mpg38.17 UK mpg13.51 km/l,5.1 l/100 km  46.12 US mpg55.39 UK mpg19.61 km/l,7.2 l/100 km  32.67 US mpg39.23 UK mpg13.89 km/l,,Petrol (Gasoline),"13.7 kg/Hp, 73.2 Hp/tonne","9.1 kg/Nm, 109.9 Nm/tonne",Engine specs,52 Hp @ 5750 rpm.,52.4 Hp/l,78 Nm @ 3500 rpm.  57.53 lb.-ft. @ 3500 rpm.,,993 cm3 60.6 cu. in.,3,Inline,Carburettor,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",710 kg  1565.28 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Coil spring,Helical spring,Disc,Drum,ABS (Anti-lock braking system),155/70 SR12,,1994 year,16.2 sec,16.2 sec,15.4 sec,147 km/h  91.34 mph,,2,,295 l  10.42 cu. ft.,40 l  10.57 US gal | 8.8 UK gal,Dimensions,3375 mm  132.87 in.,1520 mm  59.84 in.,1375 mm  54.13 in.,2205 mm  86.81 in.,1245 mm  49.02 in.,1290 mm  50.79 in.,,Steering rack and pinion,,76 mm  2.99 in.,73 mm  2.87 in.,9.5,,,,1100 kg  2425.08 lbs.,390 kg  859.8 lbs.,990 l  34.96 cu. ft.,9.5 m  31.17 ft.,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocenti,Small,Small,0.7 (31 Hp),1991 year,Internal Combustion engine,Hatchback,5,3,Performance specs,6.5 l/100 km  36.19 US mpg43.46 UK mpg15.38 km/l,5.8 l/100 km  40.55 US mpg48.7 UK mpg17.24 km/l,,,Petrol (Gasoline),"21.3 kg/Hp, 47 Hp/tonne","13.5 kg/Nm, 74.2 Nm/tonne",Engine specs,31 Hp @ 6400 rpm.,47 Hp/l,49 Nm @ 3400 rpm.  36.14 lb.-ft. @ 3400 rpm.,,659 cm3 40.21 cu. in.,3,Inline,Carburettor,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",660 kg  1455.05 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Coil spring,Helical spring,Disc,Drum,ABS (Anti-lock braking system),145/70 SR12,,1994 year,,,,120 km/h  74.56 mph,,2,,295 l  10.42 cu. ft.,40 l  10.57 US gal | 8.8 UK gal,Dimensions,3210 mm  126.38 in.,1520 mm  59.84 in.,1380 mm  54.33 in.,2045 mm  80.51 in.,1245 mm  49.02 in.,1300 mm  51.18 in.,,Steering rack and pinion,,68 mm  2.68 in.,60.5 mm  2.38 in.,9.5,,,,1060 kg  2336.9 lbs.,400 kg  881.85 lbs.,990 l  34.96 cu. ft.,9.5 m  31.17 ft.,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invicta,S1,S1,4.6 i V8 32V (325 Hp),2004 year,Internal Combustion engine,Coupe,2,2,Performance specs,,,11.3 l/100 km  20.82 US mpg25 UK mpg8.85 km/l,,Petrol (Gasoline),"3.7 kg/Hp, 270.8 Hp/tonne","2.9 kg/Nm, 339.2 Nm/tonne",Engine specs,325 Hp @ 5900 rpm.,70.6 Hp/l,407 Nm @ 4800 rpm.  300.19 lb.-ft. @ 4800 rpm.,"Front, Longitudinal",4601 cm3 280.77 cu. in.,8,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1200 kg  2645.55 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,Double wishbone,Transverse stabilizer,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),255/35 R19275/35 R19,8.5J x 19; 9.5J x 19,2012 year,5 sec,5 sec,4.8 sec,290 km/h  180.2 mph,,4,DOHC,,100 l  26.42 US gal | 22 UK gal,Dimensions,4400 mm  173.23 in.,2000 mm  78.74 in.,1225 mm  48.23 in.,2500 mm  98.43 in.,1780 mm  70.08 in.,1730 mm  68.11 in.,,Steering rack and pinion,,90.2 mm  3.55 in.,90 mm  3.54 in.,9.85,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran Khodro,Samand,Samand,1.8 i (100 Hp),2003 year,Internal Combustion engine,Sedan,5,4,Performance specs,9.2 l/100 km  25.57 US mpg30.7 UK mpg10.87 km/l,6.5 l/100 km  36.19 US mpg43.46 UK mpg15.38 km/l,8.5 l/100 km  27.67 US mpg33.23 UK mpg11.76 km/l,,Petrol (Gasoline),"12 kg/Hp, 83.3 Hp/tonne","7.8 kg/Nm, 127.5 Nm/tonne",Engine specs,100 Hp @ 6000 rpm.,56.8 Hp/l,153 Nm @ 3000 rpm.  112.85 lb.-ft. @ 3000 rpm.,"Front, Transverse",1761 cm3 107.46 cu. in.,4,Inline,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1200 kg  2645.55 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Spring Strut,Trailing arm,Ventilated discs,Drum,,185/65 R15,6.5J X 15,,11.9 sec,11.9 sec,11.3 sec,185 km/h  114.95 mph,,2,,500 l  17.66 cu. ft.,70 l  18.49 US gal | 15.4 UK gal,Dimensions,4410 mm  173.62 in.,1720 mm  67.72 in.,1460 mm  57.48 in.,2670 mm  105.12 in.,1440 mm  56.69 in.,1450 mm  57.09 in.,,Steering rack and pinion,,,,9.3,,,,1610 kg  3549.44 lbs.,410 kg  903.9 lbs.,,11 m  36.09 ft.,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
